Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,0.1u,
C6,0603,1,3.9u,
"D11, D12, D13, D14, D15, D16, D17, D18, D19",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,9,WS2812B,
"D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,8,D,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"R3, R4",0603,2,10k,
"R5, R6",0603,2,5.1k,
"SW1, SW11",SW_SPST_EVQP0,2,DFU-mode,
"SW10, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_MX_Plated_1.00u,8,keySW,
SW2,RotaryEncoder_Alps_EC12E_Vertical_H20mm,1,RotaryEncoder,
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH552T,
